EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
15,6944;0;0,313888889;0,04;8;30;4;30;8;;;;;;;;;;;
15,6944;0;0,313888889;0,04;8;50;4;30;8;;;;;;;;;;;
15,8333;0;0,316666667;0,02;12;10;4;30;8;;;;;;;;;;;
15,8333;0;0,316666667;0,02;12;30;4;50;12;;;;;;;;;;;
15,9722;0;0,319444444;0,03;12;50;4;50;12;;;;;;;;;;;
16,1111;0;0,322222222;0,02;8;10;4;50;8;;;;;;;;;;;
16,1111;0;0,322222222;0,03;8;10;4;50;4;;;;;;;;;;;
16,25;0;0,325;0,03;12;30;4;50;12;;;;;;;;;;;
16,25;0;0,325;0,04;12;10;4;50;4;;;;;;;;;;;
16,3889;0;0,327777778;0,04;12;50;4;50;12;;;;;;;;;;;
16,5278;0;0,330555556;0,04;12;10;4;50;8;;;;;;;;;;;
16,5278;0;0,330555556;0,04;12;30;4;50;12;;;;;;;;;;;
16,8056;0;0,336111111;0,03;12;10;4;30;8;;;;;;;;;;;
17,2222;0;0,344444444;0,03;8;10;4;30;4;;;;;;;;;;;
17,3611;0;0,347222222;0,03;8;10;4;50;8;;;;;;;;;;;
17,3611;0;0,347222222;0,04;12;10;4;30;4;;;;;;;;;;;
17,5;0;0,35;0,02;4;10;12;50;4;;;;;;;;;;;
17,6389;0;0,352777778;0,02;4;10;8;50;4;;;;;;;;;;;
17,6389;0;0,352777778;0,02;4;10;12;30;4;;;;;;;;;;;
17,6389;0;0,352777778;0,02;8;10;12;30;12;;;;;;;;;;;
17,7778;0;0,355555556;0,02;8;10;4;30;8;;;;;;;;;;;
17,9167;0;0,358333333;0,02;8;10;12;50;12;;;;;;;;;;;
17,9167;0;0,358333333;0,02;4;30;4;50;4;;;;;;;;;;;
17,9167;0;0,358333333;0,02;4;50;4;50;4;;;;;;;;;;;
18,0556;0;0,361111111;0,02;12;30;12;10;4;;;;;;;;;;;
18,0556;0;0,361111111;0,02;12;50;4;30;12;;;;;;;;;;;
18,0556;0;0,361111111;0,02;12;50;12;10;4;;;;;;;;;;;
18,0556;0;0,361111111;0,03;8;10;12;30;12;;;;;;;;;;;
18,0556;0;0,361111111;0,04;12;10;4;30;8;;;;;;;;;;;
18,1944;0;0,363888889;0,02;12;30;4;30;12;;;;;;;;;;;
18,1944;0;0,363888889;0,03;8;10;12;50;12;;;;;;;;;;;
18,3333;0;0,366666667;0,02;4;10;8;30;4;;;;;;;;;;;
18,3333;0;0,366666667;0,02;8;10;8;50;12;;;;;;;;;;;
18,3333;0;0,366666667;0,02;4;30;4;30;4;;;;;;;;;;;
18,3333;0;0,366666667;0,02;4;50;4;30;4;;;;;;;;;;;
18,3333;0;0,366666667;0,04;8;10;12;50;12;;;;;;;;;;;
18,4722;0;0,369444444;0,02;8;50;4;50;12;;;;;;;;;;;
18,4722;0;0,369444444;0,03;8;10;8;50;12;;;;;;;;;;;
18,4722;0;0,369444444;0,03;12;30;4;30;12;;;;;;;;;;;
18,4722;0;0,369444444;0,03;12;50;4;30;12;;;;;;;;;;;
18,4722;0;0,369444444;0,04;8;10;12;30;12;;;;;;;;;;;
18,6111;0;0,372222222;0,03;4;30;12;30;4;;;;;;;;;;;
18,6111;0;0,372222222;0,03;4;50;12;30;4;;;;;;;;;;;
18,8889;0;0,377777778;0,02;4;30;12;50;8;;;;;;;;;;;
18,8889;0;0,377777778;0,02;8;30;4;50;12;;;;;;;;;;;
18,8889;0;0,377777778;0,02;4;50;12;50;8;;;;;;;;;;;
18,8889;0;0,377777778;0,03;8;10;4;30;8;;;;;;;;;;;
18,8889;0;0,377777778;0,03;4;30;12;50;4;;;;;;;;;;;
18,8889;0;0,377777778;0,03;4;50;12;50;4;;;;;;;;;;;
18,8889;0;0,377777778;0,04;8;10;8;50;12;;;;;;;;;;;
18,8889;0;0,377777778;0,04;12;30;4;30;12;;;;;;;;;;;
18,8889;0;0,377777778;0,04;12;50;4;30;12;;;;;;;;;;;
19,0278;0;0,380555556;0,02;8;10;8;30;12;;;;;;;;;;;
19,0278;0;0,380555556;0,02;12;10;12;10;4;;;;;;;;;;;
19,0278;0;0,380555556;0,02;4;50;8;50;8;;;;;;;;;;;
19,0278;0;0,380555556;0,03;8;50;4;50;12;;;;;;;;;;;
19,0278;0;0,380555556;0,04;8;50;4;50;12;;;;;;;;;;;
19,1667;0;0,383333333;0,02;4;30;8;50;8;;;;;;;;;;;
19,1667;0;0,383333333;0,03;8;10;8;30;12;;;;;;;;;;;
19,1667;0;0,383333333;0,03;4;30;8;30;4;;;;;;;;;;;
19,1667;0;0,383333333;0,03;4;30;8;50;4;;;;;;;;;;;
19,1667;0;0,383333333;0,03;4;50;8;30;4;;;;;;;;;;;
19,1667;0;0,383333333;0,03;4;50;8;50;4;;;;;;;;;;;
19,1667;0;0,383333333;0,04;8;10;4;50;4;;;;;;;;;;;
19,3056;0;0,386111111;0,03;8;30;4;50;12;;;;;;;;;;;
19,3056;0;0,386111111;0,04;8;30;4;50;12;;;;;;;;;;;
19,4444;0;0,388888889;0,02;4;30;12;30;8;;;;;;;;;;;
19,4444;0;0,388888889;0,02;4;50;12;30;8;;;;;;;;;;;
19,4444;0;0,388888889;0,04;8;10;8;30;12;;;;;;;;;;;
19,5833;0;0,391666667;0,02;12;30;8;10;4;;;;;;;;;;;
19,5833;0;0,391666667;0,02;12;50;8;10;4;;;;;;;;;;;
19,7222;0;0,394444444;0,04;8;10;4;50;8;;;;;;;;;;;
19,8611;0;0,397222222;0,02;8;30;12;10;4;;;;;;;;;;;
19,8611;0;0,397222222;0,02;8;50;12;10;4;;;;;;;;;;;
20,1389;0;0,402777778;0,02;4;30;8;30;8;;;;;;;;;;;
20,1389;0;0,402777778;0,02;4;50;8;30;8;;;;;;;;;;;
20,2778;0;0,405555556;0,02;12;10;8;10;4;;;;;;;;;;;
20,2778;0;0,405555556;0,02;8;30;4;30;12;;;;;;;;;;;
20,2778;0;0,405555556;0,02;8;50;4;30;12;;;;;;;;;;;
20,2778;0;0,405555556;0,04;8;10;4;30;4;;;;;;;;;;;
20,4167;0;0,408333333;0,03;4;30;12;50;8;;;;;;;;;;;
20,4167;0;0,408333333;0,03;4;50;12;50;8;;;;;;;;;;;
20,5556;0;0,411111111;0,02;8;10;12;10;4;;;;;;;;;;;
20,5556;0;0,411111111;0,03;8;30;4;30;12;;;;;;;;;;;
20,5556;0;0,411111111;0,03;8;50;4;30;12;;;;;;;;;;;
20,5556;0;0,411111111;0,04;8;30;4;30;12;;;;;;;;;;;
20,5556;0;0,411111111;0,04;8;50;4;30;12;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;30;8;50;8;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;30;12;30;8;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;50;8;50;8;;;;;;;;;;;
20,8333;0;0,416666667;0,03;4;50;12;30;8;;;;;;;;;;;
20,9722;0;0,419444444;0,03;12;30;12;10;4;;;;;;;;;;;
20,9722;0;0,419444444;0,03;12;50;12;10;4;;;;;;;;;;;
21,25;0;0,425;0,04;8;10;4;30;8;;;;;;;;;;;
21,3889;0;0,427777778;0,02;12;10;4;50;12;;;;;;;;;;;
21,3889;0;0,427777778;0,03;12;10;4;50;12;;;;;;;;;;;
21,3889;0;0,427777778;0,03;12;10;12;10;4;;;;;;;;;;;
21,5278;0;0,430555556;0,02;4;10;4;50;4;;;;;;;;;;;
21,5278;0;0,430555556;0,02;8;30;8;10;4;;;;;;;;;;;
21,5278;0;0,430555556;0,02;8;50;8;10;4;;;;;;;;;;;
21,6667;0;0,433333333;0,03;4;30;8;30;8;;;;;;;;;;;
21,6667;0;0,433333333;0,03;4;50;8;30;8;;;;;;;;;;;
21,6667;0;0,433333333;0,04;12;10;4;50;12;;;;;;;;;;;
21,6667;0;0,433333333;0,04;4;30;12;50;4;;;;;;;;;;;
21,6667;0;0,433333333;0,04;4;50;12;50;4;;;;;;;;;;;
21,9444;0;0,438888889;0,02;4;10;4;30;4;;;;;;;;;;;
21,9444;0;0,438888889;0,02;8;10;8;10;4;;;;;;;;;;;
22,2222;0;0,444444444;0,04;4;30;8;50;4;;;;;;;;;;;
22,2222;0;0,444444444;0,04;4;30;12;30;4;;;;;;;;;;;
22,2222;0;0,444444444;0,04;4;50;8;50;4;;;;;;;;;;;
22,2222;0;0,444444444;0,04;4;50;12;30;4;;;;;;;;;;;
22,5;0;0,45;0,03;8;30;12;10;4;;;;;;;;;;;
22,5;0;0,45;0,03;8;50;12;10;4;;;;;;;;;;;
22,5;0;0,45;0,04;4;30;12;50;8;;;;;;;;;;;
22,5;0;0,45;0,04;4;50;12;50;8;;;;;;;;;;;
22,6389;0;0,452777778;0,02;12;10;4;30;12;;;;;;;;;;;
22,6389;0;0,452777778;0,03;4;10;12;50;4;;;;;;;;;;;
22,7778;0;0,455555556;0,03;4;10;12;30;4;;;;;;;;;;;
22,7778;0;0,455555556;0,03;12;10;4;30;12;;;;;;;;;;;
22,7778;0;0,455555556;0,04;4;30;8;30;4;;;;;;;;;;;
22,7778;0;0,455555556;0,04;4;50;8;30;4;;;;;;;;;;;
22,9167;0;0,458333333;0,02;12;30;12;10;8;;;;;;;;;;;
22,9167;0;0,458333333;0,02;12;50;12;10;8;;;;;;;;;;;
22,9167;0;0,458333333;0,03;4;10;8;50;4;;;;;;;;;;;
22,9167;0;0,458333333;0,03;8;10;12;10;4;;;;;;;;;;;
22,9167;0;0,458333333;0,03;4;30;4;50;4;;;;;;;;;;;
22,9167;0;0,458333333;0,03;4;50;4;50;4;;;;;;;;;;;
23,0556;0;0,461111111;0,04;12;10;4;30;12;;;;;;;;;;;
23,0556;0;0,461111111;0,04;4;30;8;50;8;;;;;;;;;;;
23,0556;0;0,461111111;0,04;4;50;8;50;8;;;;;;;;;;;
23,1944;0;0,463888889;0,03;4;10;8;30;4;;;;;;;;;;;
23,1944;0;0,463888889;0,03;12;10;8;10;4;;;;;;;;;;;
23,1944;0;0,463888889;0,03;12;30;8;10;4;;;;;;;;;;;
23,1944;0;0,463888889;0,03;12;50;8;10;4;;;;;;;;;;;
23,1944;0;0,463888889;0,04;4;30;12;30;8;;;;;;;;;;;
23,1944;0;0,463888889;0,04;4;50;12;30;8;;;;;;;;;;;
23,4722;0;0,469444444;0,02;12;10;12;10;8;;;;;;;;;;;
23,4722;0;0,469444444;0,03;4;30;4;30;4;;;;;;;;;;;
23,4722;0;0,469444444;0,03;4;50;4;30;4;;;;;;;;;;;
23,8889;0;0,477777778;0,02;4;10;12;50;8;;;;;;;;;;;
23,8889;0;0,477777778;0,02;4;50;4;50;8;;;;;;;;;;;
23,8889;0;0,477777778;0,03;12;30;12;10;8;;;;;;;;;;;
23,8889;0;0,477777778;0,03;12;50;12;10;8;;;;;;;;;;;
23,8889;0;0,477777778;0,04;4;30;8;30;8;;;;;;;;;;;
23,8889;0;0,477777778;0,04;4;50;8;30;8;;;;;;;;;;;
24,1667;0;0,483333333;0,02;4;10;8;50;8;;;;;;;;;;;
24,1667;0;0,483333333;0,02;4;10;12;30;8;;;;;;;;;;;
24,1667;0;0,483333333;0,02;4;30;4;50;8;;;;;;;;;;;
24,1667;0;0,483333333;0,03;8;30;8;10;4;;;;;;;;;;;
24,1667;0;0,483333333;0,03;8;50;8;10;4;;;;;;;;;;;
24,3056;0;0,486111111;0,03;8;10;8;10;4;;;;;;;;;;;
24,3056;0;0,486111111;0,03;12;10;12;10;8;;;;;;;;;;;
24,3056;0;0,486111111;0,04;12;30;12;10;4;;;;;;;;;;;
24,3056;0;0,486111111;0,04;12;50;12;10;4;;;;;;;;;;;
24,4444;0;0,488888889;0,02;12;30;4;10;4;;;;;;;;;;;
24,4444;0;0,488888889;0,02;12;50;4;10;4;;;;;;;;;;;
24,5833;0;0,491666667;0,02;4;30;4;30;8;;;;;;;;;;;
24,5833;0;0,491666667;0,02;4;50;4;30;8;;;;;;;;;;;
24,5833;0;0,491666667;0,03;4;10;12;50;8;;;;;;;;;;;
24,7222;0;0,494444444;0,02;4;10;8;30;8;;;;;;;;;;;
24,7222;0;0,494444444;0,02;12;10;4;10;4;;;;;;;;;;;
24,7222;0;0,494444444;0,04;12;10;12;10;4;;;;;;;;;;;
24,8611;0;0,497222222;0,02;8;30;4;10;4;;;;;;;;;;;
24,8611;0;0,497222222;0,02;12;30;8;10;8;;;;;;;;;;;
24,8611;0;0,497222222;0,02;8;50;4;10;4;;;;;;;;;;;
24,8611;0;0,497222222;0,02;12;50;8;10;8;;;;;;;;;;;
25;0;0,5;0,02;8;30;12;10;8;;;;;;;;;;;
25;0;0,5;0,02;8;50;12;10;8;;;;;;;;;;;
25;0;0,5;0,03;4;10;8;50;8;;;;;;;;;;;
25;0;0,5;0,03;4;10;12;30;8;;;;;;;;;;;
25,1389;0;0,502777778;0,02;12;10;8;10;8;;;;;;;;;;;
25,1389;0;0,502777778;0,03;4;50;4;50;8;;;;;;;;;;;
25,2778;0;0,505555556;0,02;8;10;4;10;4;;;;;;;;;;;
25,2778;0;0,505555556;0,03;4;30;4;50;8;;;;;;;;;;;
25,2778;0;0,505555556;0,04;4;30;4;50;4;;;;;;;;;;;
25,2778;0;0,505555556;0,04;4;50;4;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,02;8;10;12;10;8;;;;;;;;;;;
25,4167;0;0,508333333;0,03;4;10;4;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,03;4;10;8;30;8;;;;;;;;;;;
25,4167;0;0,508333333;0,03;8;30;12;10;8;;;;;;;;;;;
25,4167;0;0,508333333;0,03;8;50;12;10;8;;;;;;;;;;;
25,4167;0;0,508333333;0,04;4;10;12;50;4;;;;;;;;;;;
25,4167;0;0,508333333;0,04;8;30;12;10;4;;;;;;;;;;;
25,4167;0;0,508333333;0,04;8;50;12;10;4;;;;;;;;;;;
25,5556;0;0,511111111;0,02;8;10;4;50;12;;;;;;;;;;;
25,5556;0;0,511111111;0,04;4;10;8;50;4;;;;;;;;;;;
25,5556;0;0,511111111;0,04;12;10;8;10;4;;;;;;;;;;;
25,5556;0;0,511111111;0,04;12;30;8;10;4;;;;;;;;;;;
25,5556;0;0,511111111;0,04;12;50;8;10;4;;;;;;;;;;;
25,6944;0;0,513888889;0,03;8;10;4;50;12;;;;;;;;;;;
25,6944;0;0,513888889;0,03;12;30;8;10;8;;;;;;;;;;;
25,6944;0;0,513888889;0,03;12;50;8;10;8;;;;;;;;;;;
25,6944;0;0,513888889;0,04;12;30;12;10;8;;;;;;;;;;;
25,6944;0;0,513888889;0,04;12;50;12;10;8;;;;;;;;;;;
25,8333;0;0,516666667;0,03;8;10;12;10;8;;;;;;;;;;;
25,8333;0;0,516666667;0,03;12;10;8;10;8;;;;;;;;;;;
25,8333;0;0,516666667;0,03;4;30;4;30;8;;;;;;;;;;;
25,8333;0;0,516666667;0,03;4;50;4;30;8;;;;;;;;;;;
25,8333;0;0,516666667;0,04;8;10;4;50;12;;;;;;;;;;;
25,8333;0;0,516666667;0,04;8;10;12;10;4;;;;;;;;;;;
25,8333;0;0,516666667;0,04;8;30;8;10;4;;;;;;;;;;;
25,8333;0;0,516666667;0,04;8;50;8;10;4;;;;;;;;;;;
25,9722;0;0,519444444;0,02;8;30;8;10;8;;;;;;;;;;;
25,9722;0;0,519444444;0,02;8;50;8;10;8;;;;;;;;;;;
25,9722;0;0,519444444;0,04;12;10;12;10;8;;;;;;;;;;;
26,1111;0;0,522222222;0,03;4;10;4;30;4;;;;;;;;;;;
26,1111;0;0,522222222;0,04;4;10;8;30;4;;;;;;;;;;;
26,1111;0;0,522222222;0,04;8;10;8;10;4;;;;;;;;;;;
26,1111;0;0,522222222;0,04;4;30;4;30;4;;;;;;;;;;;
26,1111;0;0,522222222;0,04;4;50;4;30;4;;;;;;;;;;;
26,25;0;0,525;0,02;8;10;4;30;12;;;;;;;;;;;
26,25;0;0,525;0,02;8;10;8;10;8;;;;;;;;;;;
26,25;0;0,525;0,03;8;10;4;30;12;;;;;;;;;;;
26,3889;0;0,527777778;0,03;8;30;8;10;8;;;;;;;;;;;
26,3889;0;0,527777778;0,03;8;50;8;10;8;;;;;;;;;;;
26,3889;0;0,527777778;0,04;4;10;12;50;8;;;;;;;;;;;
26,3889;0;0,527777778;0,04;8;10;4;30;12;;;;;;;;;;;
26,5278;0;0,530555556;0,04;4;10;12;30;4;;;;;;;;;;;
26,5278;0;0,530555556;0,04;4;50;4;50;8;;;;;;;;;;;
26,6667;0;0,533333333;0,03;8;10;8;10;8;;;;;;;;;;;
26,6667;0;0,533333333;0,04;4;10;8;50;8;;;;;;;;;;;
26,6667;0;0,533333333;0,04;4;30;4;50;8;;;;;;;;;;;
26,6667;0;0,533333333;0,04;8;30;12;10;8;;;;;;;;;;;
26,6667;0;0,533333333;0,04;8;50;12;10;8;;;;;;;;;;;
26,8056;0;0,536111111;0,04;4;10;8;30;8;;;;;;;;;;;
26,8056;0;0,536111111;0,04;12;10;8;10;8;;;;;;;;;;;
26,8056;0;0,536111111;0,04;12;30;8;10;8;;;;;;;;;;;
26,8056;0;0,536111111;0,04;12;50;8;10;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;4;10;12;30;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;8;10;12;10;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;8;30;8;10;8;;;;;;;;;;;
26,9444;0;0,538888889;0,04;8;50;8;10;8;;;;;;;;;;;
27,0833;0;0,541666667;0,02;4;10;4;50;8;;;;;;;;;;;
27,2222;0;0,544444444;0,03;12;30;4;10;4;;;;;;;;;;;
27,2222;0;0,544444444;0,03;12;50;4;10;4;;;;;;;;;;;
27,2222;0;0,544444444;0,04;8;10;8;10;8;;;;;;;;;;;
27,3611;0;0,547222222;0,02;4;30;12;10;4;;;;;;;;;;;
27,3611;0;0,547222222;0,02;4;50;12;10;4;;;;;;;;;;;
27,3611;0;0,547222222;0,04;4;30;4;30;8;;;;;;;;;;;
27,3611;0;0,547222222;0,04;4;50;4;30;8;;;;;;;;;;;
27,5;0;0,55;0,03;4;10;4;50;8;;;;;;;;;;;
27,6389;0;0,552777778;0,02;4;10;4;30;8;;;;;;;;;;;
27,6389;0;0,552777778;0,02;4;30;8;10;4;;;;;;;;;;;
27,6389;0;0,552777778;0,02;4;50;8;10;4;;;;;;;;;;;
27,6389;0;0,552777778;0,03;12;10;4;10;4;;;;;;;;;;;
